year,weighted_lat,weighted_lon,total_emissions
2015,29.51654221131653,35.53563348077873,53619905469.6643
2016,29.50626203627933,36.26540439866148,53906477837.27646
2017,29.46977823725675,37.159511291911535,54836127211.39174
2018,29.523959410437875,37.402941862636034,55896091631.89984
2019,29.37653079536143,38.45148541484977,56288486178.52809
2020,29.304121439991714,40.85523153815269,54543432407.83391
2021,29.39612385175265,40.3738452836939,56989989416.42547
2022,29.25166360785434,40.52843880707564,57964384231.956406
2023,29.095051996830254,41.7687589339177,59029007796.38429
2024,28.963245356558964,41.89678230338847,59568805342.73657
2025,28.93601265548447,41.81492296873858,59772942619.19665
